"region","crop","2009","2010","2011","2012","2013"
"14 Västra Götaland county","spring wheat",3690,3770,3610,3850,4640
"14 Västra Götaland county","rye",4800,4170,4100,5150,4550
"14 Västra Götaland county","winter barley",3900,5060,4690,..,5150
"14 Västra Götaland county","spring barley",4620,4360,4460,4420,5050
"14 Västra Götaland county","oats",3910,4210,4120,3950,4580
"14 Västra Götaland county","Winter triticale",4330,4570,4430,5240,4670
"14 Västra Götaland county","spring triticale",..,..,..,..,..
"14 Västra Götaland county","mixed grain",3320,3670,3190,2930,4160
"14 Västra Götaland county","peas",2790,2700,1810,2470,3350
"14 Västra Götaland county","field beans",3070,2780,3470,2970,3560
"14 Västra Götaland county","corn",..,..,..,..,..
"14 Västra Götaland county","table potatoes",30540,29150,27990,30280,32040
"14 Västra Götaland county","potatoes for processing of starch",..,..,..,..,..
"14 Västra Götaland county","sugar beets",..,..,..,..,..
"14 Västra Götaland county","winter rape",2230,2790,2540,2680,2330
"14 Västra Götaland county","spring rape",1750,1590,1880,1740,2050
"14 Västra Götaland county","winter turnip rape",..,..,..,..,..
"14 Västra Götaland county","spring turnip rape",..,..,..,..,..
"14 Västra Götaland county","oil flax",1630,1350,1240,1140,..
"14 Västra Götaland county","temporary grasses",5060,4640,4520,4480,4400
"14 Västra Götaland county","temporary grasses. First cut",2550,2510,2670,2910,2470
"14 Västra Götaland county","temporary grasses. Re-growth",2510,2130,1840,1570,1930
"141 former Göteborgs o Bohus county","winter wheat",..,..,..,..,..
"141 former Göteborgs o Bohus county","spring wheat",..,..,..,..,..
"141 former Göteborgs o Bohus county","rye",..,..,..,..,..
"141 former Göteborgs o Bohus county","winter barley",..,..,..,..,..
"141 former Göteborgs o Bohus county","spring barley",..,..,..,..,..
"141 former Göteborgs o Bohus county","oats",..,..,..,..,..
"141 former Göteborgs o Bohus county","Winter triticale",..,..,..,..,..
"141 former Göteborgs o Bohus county","spring triticale",..,..,..,..,..
"141 former Göteborgs o Bohus county","mixed grain",..,..,..,..,..
"141 former Göteborgs o Bohus county","peas",..,..,..,..,..
"141 former Göteborgs o Bohus county","field beans",..,..,..,..,..
"141 former Göteborgs o Bohus county","corn",..,..,..,..,..
"141 former Göteborgs o Bohus county","table potatoes",..,..,..,..,..
"141 former Göteborgs o Bohus county","potatoes for processing of starch",..,..,..,..,..
"141 former Göteborgs o Bohus county","sugar beets",..,..,..,..,..
"141 former Göteborgs o Bohus county","winter rape",..,..,..,..,..
"141 former Göteborgs o Bohus county","spring rape",..,..,..,..,..
"141 former Göteborgs o Bohus county","winter turnip rape",..,..,..,..,..
"141 former Göteborgs o Bohus county","spring turnip rape",..,..,..,..,..
"141 former Göteborgs o Bohus county","oil flax",..,..,..,..,..
"141 former Göteborgs o Bohus county","temporary grasses",..,..,..,..,..
"141 former Göteborgs o Bohus county","temporary grasses. First cut",..,..,..,..,..
"141 former Göteborgs o Bohus county","temporary grasses. Re-growth",..,..,..,..,..
"15 former Älvsborg county","winter wheat",..,..,..,..,..
"15 former Älvsborg county","spring wheat",..,..,..,..,..
"15 former Älvsborg county","rye",..,..,..,..,..
"15 former Älvsborg county","winter barley",..,..,..,..,..
"15 former Älvsborg county","spring barley",..,..,..,..,..
"15 former Älvsborg county","oats",..,..,..,..,..
"15 former Älvsborg county","Winter triticale",..,..,..,..,..
"15 former Älvsborg county","spring triticale",..,..,..,..,..
"15 former Älvsborg county","mixed grain",..,..,..,..,..
"15 former Älvsborg county","peas",..,..,..,..,..
"15 former Älvsborg county","field beans",..,..,..,..,..
"15 former Älvsborg county","corn",..,..,..,..,..
"15 former Älvsborg county","table potatoes",..,..,..,..,..
"15 former Älvsborg county","potatoes for processing of starch",..,..,..,..,..
"15 former Älvsborg county","sugar beets",..,..,..,..,..
"15 former Älvsborg county","winter rape",..,..,..,..,..
"15 former Älvsborg county","spring rape",..,..,..,..,..
"15 former Älvsborg county","winter turnip rape",..,..,..,..,..
"15 former Älvsborg county","spring turnip rape",..,..,..,..,..
"15 former Älvsborg county","oil flax",..,..,..,..,..
"15 former Älvsborg county","temporary grasses",..,..,..,..,..
"15 former Älvsborg county","temporary grasses. First cut",..,..,..,..,..
"15 former Älvsborg county","temporary grasses. Re-growth",..,..,..,..,..
"16 former Skaraborg county","winter wheat",..,..,..,..,..
"16 former Skaraborg county","spring wheat",..,..,..,..,..
"16 former Skaraborg county","rye",..,..,..,..,..
"16 former Skaraborg county","winter barley",..,..,..,..,..
"16 former Skaraborg county","spring barley",..,..,..,..,..
"16 former Skaraborg county","oats",..,..,..,..,..
"16 former Skaraborg county","Winter triticale",..,..,..,..,..
"16 former Skaraborg county","spring triticale",..,..,..,..,..
"16 former Skaraborg county","mixed grain",..,..,..,..,..
"16 former Skaraborg county","peas",..,..,..,..,..
"16 former Skaraborg county","field beans",..,..,..,..,..
"16 former Skaraborg county","corn",..,..,..,..,..
"16 former Skaraborg county","table potatoes",..,..,..,..,..
"16 former Skaraborg county","potatoes for processing of starch",..,..,..,..,..
"16 former Skaraborg county","sugar beets",..,..,..,..,..
"16 former Skaraborg county","winter rape",..,..,..,..,..
"16 former Skaraborg county","spring rape",..,..,..,..,..
"16 former Skaraborg county","winter turnip rape",..,..,..,..,..
"16 former Skaraborg county","spring turnip rape",..,..,..,..,..
"16 former Skaraborg county","oil flax",..,..,..,..,..
"16 former Skaraborg county","temporary grasses",..,..,..,..,..
"16 former Skaraborg county","temporary grasses. First cut",..,..,..,..,..
"16 former Skaraborg county","temporary grasses. Re-growth",..,..,..,..,..
"17 Värmland county","winter wheat",3500,4900,3910,..,4570
"17 Värmland county","spring wheat",..,3970,3990,4000,4090
"17 Värmland county","rye",..,..,..,..,..
"17 Värmland county","winter barley",..,..,..,..,..
"17 Värmland county","spring barley",3040,2940,3210,3660,3780
"17 Värmland county","oats",3000,2620,3010,3210,3430
"17 Värmland county","Winter triticale",3170,..,..,..,..
"17 Värmland county","spring triticale",..,..,..,..,..
"17 Värmland county","mixed grain",..,..,..,..,..
"17 Värmland county","peas",..,..,1810,..,..
"17 Värmland county","field beans",..,..,..,..,..
"17 Värmland county","corn",..,..,..,..,..
"17 Värmland county","table potatoes",20560,24720,25920,22480,28950
"17 Värmland county","potatoes for processing of starch",..,..,..,..,..
"17 Värmland county","sugar beets",..,..,..,..,..
"17 Värmland county","winter rape",..,..,..,..,..
"17 Värmland county","spring rape",..,1590,2020,1770,1880
"17 Värmland county","winter turnip rape",..,..,..,..,..
"17 Värmland county","spring turnip rape",..,..,..,..,..
"17 Värmland county","oil flax",..,..,..,..,..
"17 Värmland county","temporary grasses",3160,3790,3560,3520,3110
"17 Värmland county","temporary grasses. First cut",2140,2730,2370,2600,2350
"17 Värmland county","temporary grasses. Re-growth",1040,1070,1190,930,750
"18 Örebro county","winter wheat",5280,4740,4490,6120,5350
"18 Örebro county","spring wheat",4700,4300,4850,4200,5350
"18 Örebro county","rye",4330,..,..,..,..
"18 Örebro county","winter barley",..,..,..,..,..
"18 Örebro county","spring barley",4330,3540,4570,3900,5090
"18 Örebro county","oats",4310,3350,4790,3910,4500
"18 Örebro county","Winter triticale",4050,..,..,..,..
"18 Örebro county","spring triticale",..,..,..,..,..
"18 Örebro county","mixed grain",..,..,..,..,..
"18 Örebro county","peas",2950,2300,3450,2280,3530
"18 Örebro county","field beans",..,..,..,..,..
"18 Örebro county","corn",..,..,..,..,..
"18 Örebro county","table potatoes",28390,21650,31840,25220,28290
"18 Örebro county","potatoes for processing of starch",..,..,..,..,..
"18 Örebro county","sugar beets",..,..,..,..,..
"18 Örebro county","winter rape",..,..,2480,3060,..
"18 Örebro county","spring rape",1970,1410,2210,1930,2090
"18 Örebro county","winter turnip rape",..,..,..,..,..
"18 Örebro county","spring turnip rape",..,..,..,..,..
"18 Örebro county","oil flax",..,1100,..,..,..
"18 Örebro county","temporary grasses",..,..,3590,4420,3760
"18 Örebro county","temporary grasses. First cut",3120,2810,2330,3110,2490
"18 Örebro county","temporary grasses. Re-growth",..,..,..,..,..
"19 Västmanland county","winter wheat",4620,4580,4500,5670,3750
"19 Västmanland county","spring wheat",3630,3520,3520,3790,4790
"19 Västmanland county","rye",..,..,..,..,..
"19 Västmanland county","winter barley",..,..,..,..,..
"19 Västmanland county","spring barley",4230,3500,4180,3510,4930
"19 Västmanland county","oats",4240,2860,4130,3750,4480
"19 Västmanland county","Winter triticale",..,..,..,..,..
"19 Västmanland county","spring triticale",..,..,..,..,..
"19 Västmanland county","mixed grain",..,..,..,..,..
"19 Västmanland county","peas",1980,1780,2560,1390,3190
"19 Västmanland county","field beans",..,..,..,..,..
"19 Västmanland county","corn",..,..,..,..,..
"19 Västmanland county","table potatoes",..,..,..,..,..
