"region","crop","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"06 Jönköping county","temporary grasses. Re-growth",14.2,15.1,18.2,12.8,14.1,13.1,13.3,12.3,11.6,9.8,26.3,10.7,7.5,13.1,10.1
"07 Kronoberg county","winter wheat",9.5,..,..,..,..,..,..,..,..,..,3.6,..,..,..,9.5
"07 Kronoberg county","spring wheat",6.7,..,4.0,4.9,3.4,..,4.7,..,2.9,..,3.8,..,..,..,..
"07 Kronoberg county","rye",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","winter barley",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","spring barley",5.0,3.3,10.7,6.1,4.3,6.0,4.8,4.1,4.0,5.6,5.4,5.3,6.0,4.9,11.4
"07 Kronoberg county","oats",4.4,4.2,4.9,5.3,3.9,6.0,1.9,4.0,4.5,13.7,6.5,4.9,10.2,5.7,8.3
"07 Kronoberg county","Winter triticale",4.4,5.9,..,..,..,..,4.2,..,..,..,..,..,3.6,4.2,5.0
"07 Kronoberg county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","mixed grain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","field beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","table potatoes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","winter rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","spring rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","oil flax",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"07 Kronoberg county","temporary grasses",..,..,13.7,13.0,11.1,13.1,11.5,12.2,10.7,10.0,7.6,10.9,10.5,14.4,10.1
"07 Kronoberg county","temporary grasses. First cut",..,7.9,9.3,8.6,9.8,8.2,8.9,9.4,8.2,8.7,4.8,6.3,9.6,8.6,16.4
"07 Kronoberg county","temporary grasses. Re-growth",..,11.4,..,20.9,15.7,24.0,23.2,19.8,16.0,15.8,12.3,19.4,15.7,..,16.1
"08 Kalmar county","winter wheat",2.1,2.8,2.8,2.2,1.8,1.7,1.2,2.0,1.6,2.2,1.6,1.3,1.7,1.3,1.6
"08 Kalmar county","spring wheat",4.6,3.0,3.8,4.9,4.8,4.7,3.4,5.6,5.0,9.4,5.7,11.6,4.8,7.0,17.4
"08 Kalmar county","rye",6.4,6.1,..,..,..,..,7.4,..,..,..,..,6.9,4.6,7.0,4.7
"08 Kalmar county","winter barley",3.4,5.3,4.9,2.9,2.6,1.7,3.2,2.5,3.1,3.3,2.2,2.6,3.5,2.5,2.6
"08 Kalmar county","spring barley",3.5,3.9,3.4,2.9,2.7,3.2,3.5,2.5,3.2,5.1,3.4,3.6,4.7,2.8,4.9
"08 Kalmar county","oats",2.4,6.9,6.6,6.6,4.6,5.4,5.3,6.1,9.5,10.8,9.3,3.8,11.3,10.0,6.0
"08 Kalmar county","Winter triticale",2.7,4.5,4.1,2.8,2.7,2.4,3.6,3.6,4.1,4.5,3.8,4.1,4.9,3.6,5.9
"08 Kalmar county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","mixed grain",..,13.3,6.7,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","peas",3.9,3.6,4.2,2.7,3.8,2.2,1.4,2.3,4.3,5.0,3.6,3.2,2.5,2.1,4.6
"08 Kalmar county","field beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","table potatoes",4.1,3.8,..,..,3.9,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","potatoes for processing of starch",2.4,1.5,1.1,1.4,0.9,0.8,0.6,1.1,2.1,1.4,1.1,1.1,2.4,2.7,1.6
"08 Kalmar county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","winter rape",1.8,2.0,2.3,1.2,2.1,2.0,1.0,1.6,1.4,2.1,1.9,2.1,1.6,2.1,2.3
"08 Kalmar county","spring rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","oil flax",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"08 Kalmar county","temporary grasses",..,..,10.7,7.2,8.6,9.5,8.2,7.4,7.0,7.5,8.0,7.3,7.6,8.2,8.6
"08 Kalmar county","temporary grasses. First cut",6.8,6.3,7.5,7.9,7.5,10.3,5.9,6.1,5.8,7.9,8.0,6.5,7.3,8.5,8.2
"08 Kalmar county","temporary grasses. Re-growth",15.3,10.5,13.6,11.7,14.8,12.2,15.2,10.4,10.0,13.4,12.9,10.4,14.8,15.5,11.7
"09 Gotland county","winter wheat",4.4,2.4,2.8,1.7,2.6,2.3,2.2,1.5,2.1,2.7,1.9,1.5,2.0,1.6,2.5
"09 Gotland county","spring wheat",5.8,4.0,3.9,2.1,2.2,2.7,2.6,2.8,2.6,4.0,3.9,2.8,4.3,3.4,4.6
"09 Gotland county","rye",8.7,..,8.3,7.9,..,8.6,10.9,..,7.7,..,6.9,3.8,8.4,3.8,7.8
"09 Gotland county","winter barley",3.1,4.3,5.1,3.0,2.5,2.9,4.9,1.8,1.9,4.4,2.4,2.1,4.1,3.1,3.0
"09 Gotland county","spring barley",2.2,2.8,3.0,2.6,1.7,2.6,3.1,2.4,2.4,4.2,2.9,2.4,4.8,2.7,5.0
"09 Gotland county","oats",9.8,6.4,6.6,3.9,3.6,8.0,7.2,7.2,32.6,8.9,4.9,6.3,9.2,10.2,14.0
"09 Gotland county","Winter triticale",4.3,4.3,3.5,3.0,3.7,3.1,3.8,4.3,4.7,..,5.2,4.7,..,..,..
"09 Gotland county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","mixed grain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","peas",2.9,3.4,4.8,4.1,3.9,2.3,2.7,2.6,2.3,4.6,2.4,2.6,2.4,2.5,4.1
"09 Gotland county","field beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","corn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","table potatoes",2.0,4.1,3.8,3.7,1.7,2.3,1.3,3.8,5.2,5.2,6.4,4.0,4.6,..,4.0
"09 Gotland county","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","winter rape",2.4,2.1,4.0,1.8,2.5,2.3,2.0,2.2,2.6,3.9,2.7,2.5,2.5,2.1,3.1
"09 Gotland county","spring rape",7.7,7.2,2.5,3.5,4.8,5.2,9.7,9.0,..,8.4,..,..,5.7,5.4,8.5
"09 Gotland county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","oil flax",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"09 Gotland county","temporary grasses",..,..,10.1,12.0,9.1,7.1,11.2,12.3,11.1,8.3,6.9,8.0,10.7,8.2,13.6
"09 Gotland county","temporary grasses. First cut",7.8,7.0,11.8,10.7,6.2,7.8,8.6,11.9,9.3,8.0,6.8,8.0,7.8,7.8,13.6
"09 Gotland county","temporary grasses. Re-growth",14.4,17.8,12.3,14.7,19.7,9.9,21.9,16.0,16.6,11.4,12.9,13.4,18.2,18.3,16.5
"10 Blekinge county","winter wheat",3.1,3.7,4.9,3.0,2.3,3.4,2.3,2.8,2.6,4.2,2.5,2.0,2.2,2.0,3.6
